loan_id,origination_date,state,loan_type,loan_amount,interest_rate,loan_term_months,credit_score,annual_income,dti_ratio,borrower_segment,delinquency_status,days_past_due,loss_given_default,prob_of_default,origination_year,origination_quarter,is_default,is_delinquent,model_pd,risk_band
LN000021,2020-07-20,CO,Personal,5108,0.0721,48,609,26390,0.073,Subprime,Charged-Off,360,4279,0.1758,2020,2020Q3,1,1,0.69,Critical
LN000022,2020-11-01,NY,Personal,21979,0.0194,48,828,70576,0.314,Prime,Current,3,0,0.0091,2020,2020Q4,0,0,0.1852,High
LN000023,2020-10-17,IL,Mortgage,314073,0.0271,360,844,39597,0.25,Near-Prime,Current,0,0,0.0079,2020,2020Q4,0,0,0.1669,High
LN000024,2024-02-18,IL,Mortgage,166004,0.054,360,673,109249,0.167,Near-Prime,Current,0,0,0.0691,2024,2024Q1,0,0,0.3795,Critical
LN000025,2022-09-01,TX,Mortgage,140889,0.0556,360,676,44337,0.61,Subprime,Current,0,0,0.0527,2022,2022Q3,0,0,0.4443,Critical
LN000026,2021-08-06,CA,Auto,32803,0.032,60,776,47526,0.26,Near-Prime,Current,3,0,0.0342,2021,2021Q3,0,0,0.2406,High
LN000027,2019-06-28,NJ,Small Business,81801,0.0247,84,798,41144,0.097,Near-Prime,Current,0,0,0.02,2019,2019Q2,0,0,0.2136,High
LN000028,2024-07-22,DE,Mortgage,305231,0.0222,360,801,41576,0.36,Near-Prime,Current,3,0,0.0136,2024,2024Q3,0,0,0.2234,High
LN000029,2020-03-02,TX,Mortgage,318967,0.0401,360,699,62564,0.334,Near-Prime,Current,0,0,0.0767,2020,2020Q1,0,0,0.3067,Critical
LN000030,2021-06-16,CA,Mortgage,390263,0.0414,360,746,69108,0.158,Near-Prime,Current,2,0,0.0262,2021,2021Q2,0,0,0.3146,Critical
LN000031,2021-06-05,MD,Auto,10621,0.0358,60,799,58521,0.144,Near-Prime,Current,0,0,0.0256,2021,2021Q2,0,0,0.1886,High
LN000032,2023-12-17,FL,Personal,11195,0.0529,48,683,31679,0.273,Near-Prime,Current,0,0,0.0496,2023,2023Q4,0,0,0.463,Critical
LN000033,2022-05-07,SC,Personal,10362,0.0197,48,821,73377,0.201,Prime,Current,2,0,0.0145,2022,2022Q2,0,0,0.1839,High
LN000034,2019-05-11,MA,Student,20130,0.0496,120,691,32696,0.212,Near-Prime,Current,4,0,0.0835,2019,2019Q2,0,0,0.429,Critical
LN000035,2019-03-05,KS,Auto,25207,0.0447,60,726,34754,0.468,Subprime,Current,3,0,0.0526,2019,2019Q1,0,0,0.3945,Critical
LN000036,2022-02-10,IL,Mortgage,410105,0.1073,360,420,45099,0.302,Deep Subprime,Current,3,0,0.2415,2022,2022Q1,0,0,0.8468,Critical
LN000037,2020-06-20,WA,Mortgage,137815,0.0609,360,679,88218,0.562,Subprime,Current,3,0,0.0535,2020,2020Q2,0,0,0.4103,Critical
LN000038,2022-11-14,OH,Personal,36725,0.0385,48,793,33883,0.293,Near-Prime,30-59 DPD,42,0,0.015,2022,2022Q4,0,1,0.2325,High
LN000039,2022-03-24,VA,Auto,21891,0.0261,60,815,71952,0.131,Prime,Current,0,0,0.0103,2022,2022Q1,0,0,0.1586,High
LN000040,2020-09-24,PA,Auto,27454,0.0587,60,629,16576,0.092,Subprime,Current,0,0,0.1232,2020,2020Q3,0,0,0.5309,Critical
LN000041,2021-03-07,TX,Personal,19141,0.0444,48,711,77092,0.259,Near-Prime,Current,4,0,0.0746,2021,2021Q1,0,0,0.3123,Critical
LN000042,2024-12-29,GA,Personal,14332,0.0676,48,622,100972,0.299,Subprime,Current,3,0,0.1597,2024,2024Q4,0,0,0.6451,Critical
LN000043,2022-04-20,NC,Small Business,133580,0.029,84,775,81135,0.173,Prime,Current,0,0,0.0146,2022,2022Q2,0,0,0.2905,High
LN000044,2022-10-18,WI,Auto,54205,0.0259,60,822,58386,0.275,Near-Prime,Current,0,0,0.0131,2022,2022Q4,0,0,0.1364,Medium
LN000045,2021-03-07,IN,Student,32690,0.0408,120,761,42284,0.335,Near-Prime,Current,0,0,0.0303,2021,2021Q1,0,0,0.3219,Critical
LN000046,2020-08-15,WA,Mortgage,291168,0.0351,360,774,37398,0.123,Near-Prime,Current,1,0,0.0237,2020,2020Q3,0,0,0.199,High
LN000047,2019-08-14,CA,Personal,8484,0.033,48,788,39217,0.155,Near-Prime,Current,1,0,0.028,2019,2019Q3,0,0,0.26,High
LN000048,2021-01-09,TN,Small Business,120327,0.1003,84,448,44328,0.296,Deep Subprime,Current,0,0,0.282,2021,2021Q1,0,0,0.7991,Critical
LN000049,2024-12-21,GA,Mortgage,417913,0.0328,360,772,95557,0.468,Subprime,Current,1,0,0.0302,2024,2024Q4,0,0,0.3465,Critical
LN000050,2024-11-30,UT,Student,36623,0.0387,120,760,56365,0.342,Near-Prime,Default,183,28281,0.0258,2024,2024Q4,1,1,0.2732,High
LN000051,2022-02-14,NV,Personal,13757,0.0385,48,750,88602,0.381,Near-Prime,Current,1,0,0.0349,2022,2022Q1,0,0,0.2685,High
LN000052,2024-07-04,CA,Mortgage,384534,0.0217,360,842,274203,0.291,Prime,Current,0,0,0.0161,2024,2024Q3,0,0,0.1508,High
LN000053,2023-02-26,MN,Auto,38004,0.026,60,795,136807,0.245,Prime,Current,0,0,0.0268,2023,2023Q1,0,0,0.192,High
LN000054,2022-04-24,CA,Mortgage,425283,0.0354,360,742,59409,0.437,Subprime,Current,4,0,0.0157,2022,2022Q2,0,0,0.4188,Critical
LN000055,2024-09-22,IL,Credit Card,12373,0.0215,0,837,45255,0.146,Near-Prime,Current,0,0,0.0126,2024,2024Q3,0,0,0.1715,High
LN000056,2019-02-08,NC,Student,30816,0.0272,120,843,90820,0.371,Near-Prime,Current,0,0,0.0081,2019,2019Q1,0,0,0.1672,High
LN000057,2020-02-01,TX,Mortgage,265284,0.0236,360,795,90751,0.265,Prime,Current,0,0,0.0231,2020,2020Q1,0,0,0.182,High
LN000058,2024-01-04,MO,Mortgage,159476,0.1307,360,360,78350,0.195,Deep Subprime,90+ DPD,110,0,0.2669,2024,2024Q1,0,1,0.8743,Critical
LN000059,2019-10-09,CA,Auto,32546,0.0563,60,713,125190,0.297,Near-Prime,Current,0,0,0.0536,2019,2019Q4,0,0,0.3251,Critical
LN000060,2021-06-01,TX,Mortgage,98563,0.0268,360,773,37338,0.091,Near-Prime,Current,1,0,0.0358,2021,2021Q2,0,0,0.1744,High
LN000061,2022-03-31,NJ,Mortgage,423297,0.1288,360,366,69091,0.246,Deep Subprime,Current,0,0,0.2824,2022,2022Q1,0,0,0.8844,Critical
LN000062,2024-11-15,TN,Auto,21704,0.1026,60,427,58777,0.124,Deep Subprime,Current,0,0,0.2665,2024,2024Q4,0,0,0.7648,Critical
LN000063,2023-12-21,NV,Mortgage,841230,0.1154,360,410,84210,0.289,Deep Subprime,90+ DPD,114,0,0.292,2023,2023Q4,0,1,0.8752,Critical
LN000064,2021-11-27,MA,Mortgage,243476,0.0445,360,771,47551,0.243,Near-Prime,Current,0,0,0.0242,2021,2021Q4,0,0,0.2501,High
LN000065,2023-07-29,AZ,Student,107770,0.0469,120,732,71979,0.432,Subprime,Current,2,0,0.0558,2023,2023Q3,0,0,0.4964,Critical
LN000066,2023-11-30,IL,Small Business,92450,0.0487,84,727,24489,0.186,Near-Prime,Current,0,0,0.0515,2023,2023Q4,0,0,0.3989,Critical
LN000067,2022-12-22,CA,Personal,30993,0.1143,48,424,59286,0.097,Deep Subprime,30-59 DPD,48,0,0.2078,2022,2022Q4,0,1,0.8566,Critical
LN000068,2020-02-17,TX,Student,24708,0.0539,120,763,140923,0.395,Near-Prime,Current,2,0,0.022,2020,2020Q1,0,0,0.2493,High
LN000069,2023-09-24,NC,Mortgage,420031,0.0471,360,708,46178,0.216,Near-Prime,30-59 DPD,41,0,0.0732,2023,2023Q3,0,1,0.3629,Critical
LN000070,2022-03-13,AZ,Mortgage,329140,0.0671,360,657,56904,0.193,Subprime,Current,2,0,0.126,2022,2022Q1,0,0,0.5893,Critical
LN000071,2022-03-21,PA,Mortgage,108273,0.0357,360,746,102201,0.217,Prime,Current,0,0,0.0287,2022,2022Q1,0,0,0.2357,High
LN000072,2019-05-25,IN,Personal,21492,0.0353,48,749,75772,0.346,Prime,Current,1,0,0.0352,2019,2019Q2,0,0,0.3313,Critical
LN000073,2024-05-15,NC,Small Business,94963,0.0481,84,726,25444,0.372,Near-Prime,Current,1,0,0.0614,2024,2024Q2,0,0,0.3843,Critical
LN000074,2022-01-22,CA,Personal,20252,0.0432,48,763,55814,0.38,Near-Prime,Current,0,0,0.0146,2022,2022Q1,0,0,0.32,Critical
LN000075,2022-03-23,TX,Small Business,409503,0.0777,84,592,72522,0.417,Subprime,Charged-Off,360,377616,0.1341,2022,2022Q1,1,1,0.7301,Critical
LN000076,2019-10-17,AL,Personal,16941,0.0309,48,789,118592,0.308,Prime,Current,0,0,0.0148,2019,2019Q4,0,0,0.2714,High
LN000077,2023-01-24,TN,Mortgage,209039,0.0674,360,617,107968,0.126,Subprime,Current,0,0,0.1409,2023,2023Q1,0,0,0.5304,Critical
LN000078,2020-12-17,UT,Auto,28402,0.0596,60,643,57980,0.102,Subprime,Current,4,0,0.1191,2020,2020Q4,0,0,0.4769,Critical
LN000079,2024-07-19,CA,Mortgage,472202,0.0332,360,795,82262,0.21,Prime,Current,1,0,0.0205,2024,2024Q3,0,0,0.2895,High
LN000080,2022-02-28,DE,Mortgage,742835,0.0338,360,797,57577,0.281,Near-Prime,Current,0,0,0.0344,2022,2022Q1,0,0,0.2963,High
LN000081,2020-11-06,FL,Personal,31363,0.0667,48,656,46554,0.189,Subprime,Current,0,0,0.1503,2020,2020Q4,0,0,0.6043,Critical
LN000082,2021-06-27,CA,Auto,22174,0.0838,60,515,103563,0.653,Deep Subprime,90+ DPD,110,0,0.2812,2021,2021Q2,0,1,0.6741,Critical
LN000083,2020-10-09,AK,Auto,36295,0.0444,60,821,100147,0.297,Prime,Current,0,0,0.017,2020,2020Q4,0,0,0.2215,High
LN000084,2024-06-13,FL,Auto,39364,0.0339,60,758,68496,0.085,Near-Prime,Current,0,0,0.0346,2024,2024Q2,0,0,0.2544,High
LN000085,2020-01-16,AZ,Mortgage,504353,0.0509,360,681,43190,0.575,Subprime,Current,4,0,0.0559,2020,2020Q1,0,0,0.5717,Critical
LN000086,2021-05-04,TX,Auto,42327,0.0306,60,796,59077,0.265,Near-Prime,Current,0,0,0.0235,2021,2021Q2,0,0,0.1649,High
LN000087,2021-02-05,NJ,Auto,36239,0.0653,60,636,61049,0.52,Subprime,30-59 DPD,43,0,0.1207,2021,2021Q1,0,1,0.5462,Critical
LN000088,2022-04-18,IA,Mortgage,290572,0.0593,360,679,94956,0.28,Near-Prime,Current,0,0,0.0541,2022,2022Q2,0,0,0.4113,Critical
LN000089,2019-02-10,NY,Student,23666,0.1117,120,432,51393,0.187,Deep Subprime,90+ DPD,105,0,0.2202,2019,2019Q1,0,1,0.8235,Critical
LN000090,2020-07-25,AZ,Auto,45373,0.0567,60,692,60729,0.288,Near-Prime,Current,0,0,0.0612,2020,2020Q3,0,0,0.3942,Critical
LN000091,2021-09-09,TX,Auto,29602,0.095,60,531,65742,0.507,Deep Subprime,Current,0,0,0.2434,2021,2021Q3,0,0,0.6083,Critical
LN000092,2020-03-06,VA,Small Business,26170,0.0531,84,717,52322,0.314,Near-Prime,60-89 DPD,73,0,0.059,2020,2020Q1,0,1,0.3331,Critical
LN000093,2022-01-12,NY,Student,27459,0.0426,120,713,68056,0.333,Near-Prime,Current,4,0,0.0699,2022,2022Q1,0,0,0.3517,Critical
LN000094,2021-06-30,FL,Small Business,55791,0.0429,84,733,63306,0.113,Near-Prime,Current,1,0,0.0838,2021,2021Q2,0,0,0.3558,Critical
LN000095,2021-12-20,NY,Mortgage,230422,0.1174,360,376,39817,0.37,Deep Subprime,30-59 DPD,40,0,0.2458,2021,2021Q4,0,1,0.8554,Critical
LN000096,2019-09-30,TX,Mortgage,197006,0.0561,360,675,45344,0.394,Near-Prime,Current,0,0,0.07,2019,2019Q3,0,0,0.3528,Critical
LN000097,2023-06-28,UT,Mortgage,375399,0.0426,360,773,29606,0.211,Near-Prime,Current,0,0,0.0194,2023,2023Q2,0,0,0.2364,High
LN000098,2019-02-25,IL,Mortgage,225561,0.0554,360,701,41378,0.188,Near-Prime,Current,1,0,0.0579,2019,2019Q1,0,0,0.3661,Critical
LN000099,2020-11-27,FL,Small Business,60623,0.0347,84,778,122185,0.133,Prime,Current,0,0,0.024,2020,2020Q4,0,0,0.2902,High
LN000100,2024-07-14,PA,Personal,4878,0.0603,48,688,83350,0.111,Near-Prime,Current,0,0,0.0795,2024,2024Q3,0,0,0.3796,Critical
LN000101,2023-12-01,NY,Mortgage,251239,0.0523,360,721,40075,0.402,Near-Prime,Current,0,0,0.0523,2023,2023Q4,0,0,0.3187,Critical
LN000102,2023-04-09,IN,Mortgage,290672,0.033,360,756,54402,0.218,Near-Prime,Current,4,0,0.0147,2023,2023Q2,0,0,0.2688,High
LN000103,2023-12-27,NH,Mortgage,477463,0.0202,360,827,38760,0.214,Near-Prime,Current,0,0,0.0067,2023,2023Q4,0,0,0.1805,High
LN000104,2021-08-24,PA,Personal,22228,0.0917,48,521,86083,0.168,Deep Subprime,60-89 DPD,71,0,0.2574,2021,2021Q3,0,1,0.6558,Critical
LN000105,2023-03-13,KY,Personal,22400,0.1282,48,336,67906,0.339,Deep Subprime,30-59 DPD,49,0,0.2612,2023,2023Q1,0,1,0.9171,Critical
LN000106,2023-11-03,MI,Student,19188,0.0393,120,777,84219,0.203,Prime,Current,0,0,0.0213,2023,2023Q4,0,0,0.3036,Critical
LN000107,2024-07-26,TX,Small Business,144438,0.0281,84,802,51133,0.384,Near-Prime,Current,2,0,0.0134,2024,2024Q3,0,0,0.2204,High
LN000108,2022-04-29,MA,Mortgage,285426,0.0254,360,844,98756,0.15,Prime,Current,1,0,0.0062,2022,2022Q2,0,0,0.1664,High
LN000109,2019-07-25,GA,Mortgage,249676,0.0469,360,723,32997,0.228,Near-Prime,Current,0,0,0.0782,2019,2019Q3,0,0,0.3361,Critical
LN000110,2023-07-12,WA,Mortgage,188807,0.0571,360,689,44512,0.323,Near-Prime,Current,3,0,0.0732,2023,2023Q3,0,0,0.3338,Critical
LN000111,2021-08-28,CT,Mortgage,360445,0.0338,360,794,49068,0.337,Near-Prime,Current,4,0,0.0199,2021,2021Q3,0,0,0.2454,High
LN000112,2020-06-15,PA,Small Business,79200,0.0402,84,748,89413,0.27,Prime,Current,4,0,0.0296,2020,2020Q2,0,0,0.3114,Critical
LN000113,2021-01-03,UT,Auto,31394,0.041,60,791,45630,0.216,Near-Prime,Current,3,0,0.023,2021,2021Q1,0,0,0.1804,High
LN000114,2021-05-25,MO,Personal,21278,0.021,48,839,36935,0.147,Near-Prime,Current,2,0,0.0101,2021,2021Q2,0,0,0.1694,High
LN000115,2020-08-24,OH,Auto,36022,0.0445,60,787,60152,0.14,Near-Prime,Current,1,0,0.0204,2020,2020Q3,0,0,0.1918,High
LN000116,2020-05-14,NJ,Mortgage,622113,0.0418,360,704,202508,0.494,Subprime,Current,1,0,0.0552,2020,2020Q2,0,0,0.4037,Critical
LN000117,2023-08-23,NY,Mortgage,468442,0.0447,360,708,36749,0.082,Near-Prime,Current,0,0,0.0769,2023,2023Q3,0,0,0.3535,Critical
LN000118,2021-03-08,MT,Auto,17007,0.0364,60,778,111233,0.093,Prime,Current,3,0,0.0209,2021,2021Q1,0,0,0.2155,High
LN000119,2021-10-05,AZ,Personal,20517,0.0466,48,688,59644,0.151,Near-Prime,Current,4,0,0.0577,2021,2021Q4,0,0,0.4306,Critical
LN000120,2023-11-13,CA,Mortgage,113220,0.0519,360,687,60044,0.155,Near-Prime,Current,0,0,0.0568,2023,2023Q4,0,0,0.3813,Critical
LN000121,2023-05-16,NY,Personal,37322,0.0932,48,524,44295,0.207,Deep Subprime,Current,3,0,0.258,2023,2023Q2,0,0,0.689,Critical
LN000122,2022-11-08,VA,Student,39137,0.0735,120,593,81849,0.421,Subprime,Current,1,0,0.1161,2022,2022Q4,0,0,0.6624,Critical
LN000123,2024-09-21,CA,Auto,20932,0.0593,60,682,100631,0.479,Subprime,Current,0,0,0.0696,2024,2024Q3,0,0,0.4983,Critical
LN000124,2023-09-26,CA,Personal,50081,0.0307,48,833,127072,0.398,Near-Prime,Current,0,0,0.0097,2023,2023Q3,0,0,0.196,High
LN000125,2022-03-11,PA,Auto,23104,0.0767,60,594,69067,0.2,Subprime,90+ DPD,111,0,0.1223,2022,2022Q1,0,1,0.6039,Critical
LN000126,2023-03-19,NY,Personal,7714,0.0388,48,737,42362,0.322,Near-Prime,Current,0,0,0.0454,2023,2023Q1,0,0,0.3033,Critical
LN000127,2022-10-16,PA,Personal,7960,0.0486,48,712,146342,0.058,Near-Prime,Current,0,0,0.0701,2022,2022Q4,0,0,0.2908,High
LN000128,2019-10-28,FL,Credit Card,5286,0.118,0,386,47740,0.118,Deep Subprime,Current,2,0,0.2529,2019,2019Q4,0,0,0.87,Critical
LN000129,2022-07-08,TX,Mortgage,463051,0.0241,360,834,40697,0.172,Near-Prime,Current,0,0,0.0125,2022,2022Q3,0,0,0.1577,High
LN000130,2022-02-22,MA,Auto,33678,0.0188,60,846,69189,0.457,Subprime,Current,4,0,0.0142,2022,2022Q1,0,0,0.1881,High
LN000131,2023-08-20,GA,Mortgage,771237,0.1349,360,310,36978,0.376,Deep Subprime,90+ DPD,110,0,0.2229,2023,2023Q3,0,1,0.9525,Critical
LN000132,2024-05-17,TX,Mortgage,378488,0.0397,360,778,46641,0.374,Near-Prime,Current,3,0,0.017,2024,2024Q2,0,0,0.2298,High
LN000133,2023-07-07,NY,Personal,37422,0.0411,48,691,81902,0.248,Near-Prime,Current,1,0,0.065,2023,2023Q3,0,0,0.3599,Critical
LN000134,2023-03-29,NJ,Small Business,172216,0.0237,84,847,251795,0.124,Prime,Current,1,0,0.0068,2023,2023Q1,0,0,0.1484,Medium
LN000135,2021-12-16,CA,Mortgage,286694,0.053,360,678,79437,0.548,Subprime,Current,2,0,0.0524,2021,2021Q4,0,0,0.5203,Critical
LN000136,2021-08-31,TX,Mortgage,340017,0.0532,360,649,108274,0.285,Subprime,Charged-Off,363,306546,0.1714,2021,2021Q3,1,1,0.4755,Critical
LN000137,2020-02-01,CA,Mortgage,451171,0.0256,360,784,46465,0.394,Near-Prime,Current,1,0,0.0319,2020,2020Q1,0,0,0.264,High
LN000138,2021-07-27,WI,Auto,41418,0.0293,60,816,68427,0.139,Near-Prime,Current,0,0,0.0061,2021,2021Q3,0,0,0.1362,Medium
LN000139,2022-03-24,MO,Mortgage,305018,0.0734,360,591,22949,0.507,Subprime,Current,1,0,0.1726,2022,2022Q1,0,0,0.686,Critical
LN000140,2024-04-17,MO,Mortgage,205181,0.0473,360,757,30753,0.284,Near-Prime,Current,1,0,0.0139,2024,2024Q2,0,0,0.2735,High
LN000141,2020-09-05,TN,Personal,11378,0.1067,48,474,64746,0.501,Deep Subprime,30-59 DPD,40,0,0.2523,2020,2020Q3,0,1,0.7518,Critical
LN000142,2024-04-07,AZ,Mortgage,322157,0.0193,360,825,71457,0.126,Prime,Current,0,0,0.0149,2024,2024Q2,0,0,0.2144,High
LN000143,2022-03-14,OH,Auto,44601,0.081,60,560,91346,0.282,Deep Subprime,30-59 DPD,44,0,0.2381,2022,2022Q1,0,1,0.5375,Critical
LN000144,2019-10-18,WA,Student,18829,0.035,120,812,54458,0.211,Near-Prime,Current,0,0,0.0056,2019,2019Q4,0,0,0.1864,High
LN000145,2022-05-25,CA,Mortgage,480403,0.0486,360,695,127320,0.127,Near-Prime,Current,0,0,0.0635,2022,2022Q2,0,0,0.3956,Critical
LN000146,2023-11-16,VA,Auto,24852,0.0534,60,734,78839,0.113,Near-Prime,Current,1,0,0.0762,2023,2023Q4,0,0,0.2468,High
LN000147,2024-08-14,MD,Personal,16992,0.0207,48,844,24182,0.328,Near-Prime,Current,0,0,0.0107,2024,2024Q3,0,0,0.1823,High
LN000148,2021-06-28,GA,Personal,5478,0.0277,48,822,24205,0.332,Near-Prime,Current,4,0,0.0048,2021,2021Q2,0,0,0.2194,High
LN000149,2020-06-11,NY,Auto,21789,0.0341,60,785,63849,0.197,Near-Prime,Current,0,0,0.0263,2020,2020Q2,0,0,0.1825,High
LN000150,2019-10-31,FL,Mortgage,243781,0.0756,360,592,53178,0.679,Subprime,Current,0,0,0.1643,2019,2019Q4,0,0,0.6893,Critical
LN000151,2022-08-03,WA,Student,69676,0.0552,120,703,66888,0.374,Near-Prime,Current,0,0,0.0851,2022,2022Q3,0,0,0.3725,Critical
LN000152,2020-07-17,MA,Personal,17085,0.0403,48,734,50612,0.568,Subprime,Current,0,0,0.0505,2020,2020Q3,0,0,0.4199,Critical
LN000153,2023-10-05,OR,Mortgage,463819,0.0456,360,733,44347,0.119,Near-Prime,Current,0,0,0.0484,2023,2023Q4,0,0,0.3097,Critical
LN000154,2023-07-12,NY,Mortgage,145398,0.0397,360,760,41467,0.22,Near-Prime,Current,3,0,0.0223,2023,2023Q3,0,0,0.2269,High
LN000155,2021-03-01,MD,Mortgage,345323,0.0873,360,539,58188,0.14,Deep Subprime,Current,2,0,0.2149,2021,2021Q1,0,0,0.6473,Critical
LN000156,2024-01-30,MI,Mortgage,158231,0.0372,360,796,91111,0.345,Prime,Current,1,0,0.0345,2024,2024Q1,0,0,0.2212,High
LN000157,2021-10-31,CT,Auto,27125,0.0433,60,740,34957,0.294,Near-Prime,Current,0,0,0.0245,2021,2021Q4,0,0,0.3059,Critical
LN000158,2022-01-22,NC,Mortgage,97392,0.0949,360,507,55863,0.309,Deep Subprime,30-59 DPD,40,0,0.2277,2022,2022Q1,0,1,0.6611,Critical
LN000159,2020-09-23,GA,Mortgage,294319,0.0471,360,761,122068,0.228,Prime,60-89 DPD,76,0,0.0175,2020,2020Q3,0,1,0.2929,High
LN000160,2019-06-21,MI,Personal,11063,0.036,48,793,25069,0.462,Subprime,Current,3,0,0.0209,2019,2019Q2,0,0,0.3192,Critical
LN000161,2024-01-14,MO,Mortgage,327973,0.0411,360,752,82558,0.133,Prime,Current,0,0,0.0301,2024,2024Q1,0,0,0.3017,Critical
LN000162,2022-10-07,WV,Personal,17886,0.0867,48,525,53948,0.254,Deep Subprime,60-89 DPD,71,0,0.2478,2022,2022Q4,0,1,0.6408,Critical
LN000163,2022-09-09,CA,Personal,14766,0.0498,48,740,40533,0.278,Near-Prime,Current,0,0,0.0169,2022,2022Q3,0,0,0.3671,Critical
LN000164,2024-05-30,CA,Mortgage,289242,0.063,360,619,45380,0.271,Subprime,Current,1,0,0.1641,2024,2024Q2,0,0,0.6475,Critical
LN000165,2024-11-25,MS,Personal,10517,0.0475,48,732,100351,0.297,Near-Prime,Current,4,0,0.0896,2024,2024Q4,0,0,0.3173,Critical
LN000166,2023-04-27,NC,Personal,11215,0.0415,48,753,56099,0.256,Near-Prime,Current,0,0,0.0175,2023,2023Q2,0,0,0.2897,High
LN000167,2021-08-02,VA,Mortgage,196162,0.0445,360,744,34965,0.354,Near-Prime,Current,0,0,0.0246,2021,2021Q3,0,0,0.2447,High
LN000168,2024-10-20,OH,Mortgage,137123,0.1002,360,493,38821,0.395,Deep Subprime,30-59 DPD,41,0,0.2405,2024,2024Q4,0,1,0.6981,Critical
LN000169,2023-12-27,CA,Auto,19109,0.0306,60,788,46652,0.265,Near-Prime,Current,2,0,0.0198,2023,2023Q4,0,0,0.2277,High
LN000170,2023-06-03,MD,Small Business,181348,0.0188,84,837,92403,0.292,Prime,Current,1,0,0.009,2023,2023Q2,0,0,0.2187,High
LN000171,2021-01-01,MO,Personal,53667,0.0685,48,590,46569,0.294,Subprime,Current,3,0,0.1226,2021,2021Q1,0,0,0.69,Critical
LN000172,2022-04-17,NY,Mortgage,189637,0.0276,360,815,59137,0.169,Near-Prime,Current,0,0,0.0104,2022,2022Q2,0,0,0.1544,High
LN000173,2022-04-27,NY,Personal,13649,0.0376,48,791,42374,0.124,Near-Prime,Current,0,0,0.0235,2022,2022Q2,0,0,0.224,High
LN000174,2020-07-31,AL,Auto,23105,0.0342,60,765,49057,0.243,Near-Prime,Current,3,0,0.0256,2020,2020Q3,0,0,0.257,High
